embedding_index,title,year,authors,venue,issn,doi,subjects,work_id,embedding_id,embedding_run,embedding_preview,abstract
23,Eulerian idempotents and Milnor-Moore theorem for certain non-cocommutative Hopf algebras,2002,"Ronco, María","J. Algebra 254, No. 1, 152-172 (2002).","0021-8693, 1090-266X",10.1016/s0021-8693(02)00097-2,"16W30, 16W50, 16S30",10.1016/s0021-8693(02)00097-2,d1cf8761ec5950ccfc54809d79b925e639c0f453,no_msc_clean,"[-0.0714, -0.0139, -0.0442, 0.0052, -0.0650, -0.0016, 0.0448, -0.0002, ...] dimension=384","A classical result of \textit{J. W. Milnor} and \textit{J. C. Moore} [Ann. Math. (2) 81, 211-264 (1965; Zbl 0163.28202)] says that every connected graded cocommutative Hopf algebra over a field of characteristic zero is isomorphic to the universal enveloping algebra of its Lie algebra of primitive elements. The aim of the paper under review is to establish a similar result for a certain class of non-cocommutative Hopf algebras, namely the dendriform Hopf algebras.


A dendriform algebra is a (non-unital) associative algebra such that the product is the sum of two binary operations \(\prec\) and \(\succ\) satisfying certain conditions and a dendriform Hopf algebra has in addition a coproduct compatible with \(\prec\) and \(\succ\). A brace algebra is a vector space with a family of \(n\)-ary operations on itself satisfying certain conditions. Every dendriform algebra has the structure of a brace algebra. Moreover, the subspace of primitive elements (i.e., elements with zero coproduct) of a dendriform Hopf algebra is a brace subalgebra. Then the main result of this paper says that every connected graded dendriform Hopf algebra over a field of characteristic zero is isomorphic to the dendriform analogue of the universal enveloping algebra of its brace algebra of primitive elements. One ingredient of the proof is the construction of a family of Eulerian projections for connected graded dendriform Hopf algebras."
24,Exponential series without denominators,2013,"Loday, Jean-Louis","Dobrev, Vladimir (ed.), Lie theory and its applications in physics. IX international workshop. Based on the 9th workshop on Lie theory and its applications in physics, Varna, Bulgaria, June 20--26, 2011. Tokyo: Springer (ISBN 978-4-431-54269-8/hbk; 978-4-431-54270-4/ebook). Springer Proceedings in Mathematics \& Statistics 36, 95-107 (2013).","2194-1009, 2194-1017",10.1007/978-4-431-54270-4_7,"17A30, 16T30, 17A32",10.1007/978-4-431-54270-4_7,5f0c7a8e8da2cb670c8311e723dfc0a348180473,no_msc_clean,"[-0.1399, 0.0219, -0.0411, 0.1076, -0.0638, -0.0375, 0.0006, -0.0537, ...] dimension=384","Under certain properties on the commutative algebra the classical exponential series can be written without denominators. It occurs, for instance, in a Zinbiel algebra and in matrices with coefficients in a commutative algebra, which can be endowed with a structure of dendriform algebra or associative algebra, respectively. In the paper, the author, after recalling the notions of Zinbiel algebra and dendriform algebra, introduces and studies the exponential without denominators. In particular, he compute its inverse, the logarithm without denominators and proves the Baker-Campbell-Hausdorff-type formula for the exponential series without denominators. As a corollary, he finally shows that in the multilinear case, the role the Eulerian idempotent is played by the iterated pre-Lie product.

For the entire collection see [Zbl 1266.00027]."
25,Invariant algebras and geometric reasoning,2008,"Li, Hongbo","Hackensack, NJ: World Scientific (ISBN 978-981-270-808-3/hbk). xiv, 518~p. (2008).",,,"15A66, 15-01, 51-01, 51M05, 51M10",069e682f3224801e19bcd8052600239da777ebd5,0ca553654bfe47ba53c5cdadc685befa89778500,no_msc_clean,"[-0.1461, 0.0340, -0.0459, -0.0161, -0.1109, -0.0323, 0.0368, -0.0173, ...] dimension=384","The book under review is devoted to present results on Grassmann-Cayley algebra and geometric algebra obtained by the author and his collaborators. The two algebras are used as distinguished languages for projective, Euclidean, and other classical geometries. Therefore, these algebras have important applications in mathematics, physics, computer science and engineering. 

Historical remarks and a motivation for both Grassmann-Cayley algebra and geometric algebra are given in Chapter 1. Especially noteworthy are sections on advanced invariants and geometric reasoning with advanced invariant algebras. Grassmann-Cayley algebra, bracket algebra, Cayley bracket algebra and quadratic Grassmann-Cayley algebra are applied to projective geometry in next three chapters. In particular, automated theorem proving is presented. 

Chapters 5 and 6 deal with inner-product bracket algebra, Clifford algebra and the important geometric algebra. In the last two chapters, Euclidean geometry and other classical geometries are interpreted in terms of conformal Grassmann-Cayley algebra and conformal Clifford algebra. 

This carefully written book is intended for both researchers in geometric algebra and graduate students in mathematics. The first several sections of all chapters can be also used as an undergraduate course on Clifford algebras."
26,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,1995,"zbMATH Open Web Interface contents unavailable due to conflicting licenses., zbMATH Open Web Interface contents unavailable due to conflicting licenses.",zbMATH Open Web Interface contents unavailable due to conflicting licenses.,"1532-4125, 0092-7872",10.1080/00927879508825335,"17B35, 16S30, 18G60, 55P62",10.1080/00927879508825335,b10a57c0626ea9e8304afc86c0cca2b9b5887c6c,no_msc_clean,"[-0.1475, -0.0047, -0.0171, 0.0408, -0.0444, 0.0120, -0.0447, 0.0038, ...] dimension=384","The authors obtain a correspondence between \(A(m)\) (associative algebra) and \(L(m)\) (Lie algebra) structures on a graded vector space, generalizations of the universal enveloping algebra functor. They investigate the notion of universal enveloping \(A(m)\)-algebra of an \(L(m)\)-algebra and prove a one-to-one correspondence between \(L\)-module structures on a graded differential vector space \(M\) and weak \(L(m)\)-maps \(L\to \operatorname {End}M_L\), \(L\) a graded vector space having \(L(m)\)-structure. 


See the second author's paper in J. Pure Appl. Algebra 83, 141-175 (1992; Zbl 0801.55004) for motivation of this study."
27,"Algebra, topology and algebraic topology of 3D ideal fluids",2011,"Sullivan, Dennis","Usher, Michael (ed.), Low-dimensional and symplectic topology. Proceedings of the Georgia international topology conference, Athens, GA, USA, May 18--29, 2009. Providence, RI: American Mathematical Society (AMS) (ISBN 978-0-8218-5235-4/hbk). Proceedings of Symposia in Pure Mathematics 82, 1-7 (2011).",,,"35Q35, 55P48",926133aed236a3d303a9517ee6f4e5153757458b,9bcf84808244a754f738c53feaf16285aaaeec04,no_msc_clean,"[-0.0893, 0.0139, -0.0226, 0.0170, -0.0305, 0.0264, 0.0345, 0.0370, ...] dimension=384","A 3D fluid algebra and a finite-dimensional approximation of this algebra are introduced. The Euler equation as the evolution equation of the fluid algebra is given. The energy and the helicity are preserved by the evolution in the fluid algebra. The presented approach allows to apply algebraic topology for fluids.

For the entire collection see [Zbl 1226.57002]."
28,"Vertex algebras, Kac-Moody algebras, and the monster",1986,"Borcherds, Richard E.","Proc. Natl. Acad. Sci. USA 84, 3068-3071 (1986).","1091-6490, 0027-8424",10.1073/pnas.83.10.3068,"17B67, 17B69, 20D08",10.1073/pnas.83.10.3068,fab68396538da1c2c3818a90bac51893b694f709,no_msc_clean,"[-0.1697, -0.0023, -0.0304, 0.0548, -0.1209, 0.0517, 0.0716, -0.0286, ...] dimension=384","The author constructs a realization of an algebra that is usually slightly larger than a Kac-Moody algebra \(A\) and equal to \(A\) if \(A\) is of finite or affine type. Let \(V=V(R)\) be a Fock space associated with an even lattice \(R\). This space has a structure of a vertex algebra. Products on \(V\) are defined through the generalized vertex operator \(:Q(u,z):\). There is a certain derivation \(D\) on \(V\). The quotient space \(V/DV\) is a Lie algebra, where the Lie algebra product is \([u,v] =\) the coefficient of \(z^{-1}\) in \(:Q(u,z):(v)\). If \(R\) is the root lattice of a Kac-Moody algebra \(A\), then \(V/DV\) contains \(A\) as a subalgebra. To reduce \(V/DV\) to a smaller subalgebra, the Virasoro algebra is used. 


The author constructs an integral form for the universal enveloping algebra \(U(A)\), some new irreducible integrable representation of \(A\), and a sort of affinization of \(A\). Finally a relation between vertex algebras and the Frenkel-Lepowsky-Meurman representation of the monster is discussed."
29,Cyclic homology and homology of the Lie algebra of matrices,1983,"Loday, Jean-Louis, Quillen, Daniel","C. R. Acad. Sci., Paris, Sér. I 296, 295-297 (1983).",,,"17B55, 15A30, 57T05",46329ba88e8ef939a6149dfe8e1685072348ec17,7408e2a06941414890ad523b7fb5810e9c5f36b3,no_msc_clean,"[-0.0789, 0.0626, -0.1007, 0.0364, -0.1051, 0.0390, -0.0429, -0.0989, ...] dimension=384",Summary: For any associative algebra over a field of characteristic zero it is shown that the primitive part of the homology of the Lie algebra of matrices is isomorphic to the cyclic homology (or Connes homology) of the algebra. A stability theorem for the homology of the Lie algebra of matrices is also demonstrated.
30,Multiplier Hopf algebras,1994,"Van Daele, A.","Trans. Am. Math. Soc. 342, No. 2, 917-932 (1994).","1088-6850, 0002-9947",10.2307/2154659,"16W30, 17B37",10.2307/2154659,7781fc25d90fc7abccf024e4c847ae6278d9ddc5,no_msc_clean,"[-0.0157, -0.0411, 0.0165, -0.0723, -0.0950, 0.0440, 0.0688, -0.0159, ...] dimension=384","The author generalizes the notion of Hopf algebra. Let \(A\) be an algebra over \(C\) with or without identity and let \(\Delta\) be a comultiplication on \(A\), i.e. a homomorphism \(\Delta : A \to M(A \otimes A)\) such that (i) \(\Delta(a) (1 \otimes b) \in A \otimes A\) and \((a \otimes 1) \Delta(b) \in A \otimes A\) for all \(a, b \in A\), (ii) \(\Delta\) is coassociative in the sense: \((a \otimes 1 \otimes 1) (\Delta \otimes\tau) (\Delta(b) (1 \otimes c)) = (\eta\otimes \Delta)\) \(((a \otimes 1) \Delta(b)) (1\otimes 1 \otimes c)\) for all \(a\), \(b\), \(c\) in \(A\). Then \((A, \Delta)\) is called a multiplier Hopf algebra if the linear maps \(T_ 1, T_ 2 : A \otimes A \to A \otimes A\), defined by \(T_ 1 (a \otimes b) = \Delta(a) (1 \otimes b)\), \(T_ 2 (a \otimes b) = (a \otimes 1) \Delta(b)\), are bijective. If \(A\) has an identity, one gets a usual Hopf algebra. Hence this theory gives a characterization for an algebra \(A\) with identity to be a Hopf algebra. The motivating example is the case where \(A\) is the algebra of complex, finitely supported functions on a group \(G\) and where \((\Delta f) (s,t) = f(st)\) with \(s, t \in G\) and \(f \in A\). The existence of a counit and an antipode is proved for every multiplier Hopf algebra \((A, \Delta)\); in particular, the existence of a unique counit and antipode for a usual Hopf algebra follows from certain necessary and sufficient conditions on the comultiplication. A multiplier Hopf algebra \(A\) is called regular if \(\sigma \Delta\) (\(\sigma\) the flip) is again a comultiplication such that \((A, \sigma \Delta)\) is also a multiplier Hopf algebra. It is shown that the regularity is automatic if the multiplier Hopf algebra \(A\) is either abelian or a *-algebra. At the end, for a multiplier Hopf *-algebra \(A\), it turns out that a suitable subspace \(A^*\) of the dual space of \(A\) can also be made into a *-algebra."
31,Finite vs affine \(W\)-algebras,2006,"De Sole, Alberto, Kac, Victor G.","Jpn. J. Math. (3) 1, No. 1, 137-261 (2006).","0289-2316, 1861-3624",10.1007/s11537-006-0505-2,"17B69, 17B68",10.1007/s11537-006-0505-2,8705247013c6d2e739f915cdcfae7d577d891621,no_msc_clean,"[-0.1228, 0.0186, -0.0633, 0.0365, -0.0577, -0.0188, 0.0942, -0.0684, ...] dimension=384","This paper establishes a precise connection between finite and affine \(W\)-algebras by showing that the finite \(W\)-algebra associated to the triple \((\mathfrak{g},x,f)\) (here \(\mathfrak{g}\) is a simple finite-dimensional algebra, \(x\) is an ad-diagonalizable element in \(\mathfrak{g}\) with eigenvalues in \(\frac{1}{2}\mathbb{Z}\), and \(f\) is an eigenvector of \(\mathrm{ad}\,x\) with eigenvalues \(-1\) satisfying some extra conditions) is the \(H\)-twisted Zhu algebra, associated to the same date, for a certain twist \(H\). The authors also introduce the notion of a Zhu algebra of a Poisson vertex algebra and discuss its connection to the Zhu algebra of a vertex algebra via the quasiclassical limit. This gives a unified picture for quantum and classical \(W\)-algebras on one side and finite \(W\)-algebras and the Poisson algebra of the Slodowy slice on the other side.

In the first part of the paper various definitions of vertex algebras and the theory of Zhu algebras and nonlinear Lie conformal algebras are reviewed."
32,A generalization of the concept of a Lie algebra,1965,"Blokh, A.","Sov. Math., Dokl. 6 (1965), 1450-1452 (1966); translation from Dokl. Akad. Nauk SSSR 165, 471-473 (1965).",,,17A32,28b6f8e12dcefd0133c959317de8bf994b369b33,feb06dae57770d5167c8bc3cd485372b591e6d50,no_msc_clean,"[-0.1164, 0.0084, 0.0220, 0.0240, -0.0778, -0.0227, 0.0124, -0.0752, ...] dimension=384","A left \(D\)-algebra \(\mathcal D\) is an algebra in which \(a*(b*c) = (a*b)*c + b*(a*c)\) for every \(a, b, c\) in \(\mathcal D\). The author derives several properties of such algebras concerning their relation to Lie algebras. (An analogous definition and analogous properties hold for right \(D\)-algebras.) The left center \({}^*\mathcal D = \{x\mid x*a=0\) for all \(a\in\mathcal D\) is an ideal in \(\mathcal D\), and \(\mathcal D/{}^*\mathcal D\) is a Lie algebra. Also, if \(\mathcal F\) is an ideal in \(\mathcal D\) such that \(\mathcal D/\mathcal F\) is a semisimple Lie algebra, then \({}^*\mathcal D\subset\mathcal F\), and for every semisimple Lie ideal contained in a finite dimensional left \(D\)-algebra there exists a complementary ideal. Finally, if \((\mathcal A,+,\cdot)\) is a free associative algebra and \(a*b = f(a,b)\) for \(f\) a polynomial over \(\mathcal A\) then \((\mathcal A,+,\cdot)\) is a \(D\)-algebra only if it is a Lie algebra. Several illustrative examples are provided in the paper."
33,"The \((Q,q)\)-Schur algebra",1998,"Dipper, Richard, James, Gordon, Mathas, Andrew","Proc. Lond. Math. Soc., III. Ser. 77, No. 2, 327-361 (1998).","0024-6115, 1460-244X",10.1112/s0024611598000483,"20C30, 16G30, 20C20, 20G05, 16E60, 16S50, 17B37",10.1112/s0024611598000483,b4bb9aa1b928ed0c12ce41a5745f1942634d50f8,no_msc_clean,"[-0.1211, 0.0265, -0.0606, 0.0430, -0.1391, 0.1019, 0.0108, -0.0391, ...] dimension=384","The \(q\)-Schur algebra is a finite dimensional associative algebra which has important applications to the representation theory of \(\text{GL}_n(q)\). It was originally introduced by the first two authors, who defined it as an endomorphism algebra arising from the Hecke algebra of type \(A\) with parameter \(q\). Here, the authors extend this construction to type \(B\), and define a type \(B\) \(q\)-Schur algebra which they call the \((Q,q)\)-Schur algebra, because there are two parameters (\(Q\) and \(q\)) involved. They construct a combinatorial basis for the \((Q,q)\)-Schur algebra and define the analogues of Weyl modules. Du and Scott have independently introduced an algebra which is Morita equivalent to the \((Q,q)\)-Schur algebra; they also proved that their algebra is quasi-hereditary and constructed its irreducibles. The results of Du-Scott and the results in this paper have now been largely superseded by subsequent stronger work of Dipper, James and Mathas on what they call ``cyclotomic \(q\)-Schur algebras''. These are versions of the \(q\)-Schur algebra which are defined in terms of an Ariki-Koike algebra, as opposed to a Hecke algebra of type \(A\) or \(B\); the ordinary \(q\)-Schur algebras correspond to the case \(r=1\) and the \((Q,q)\)-Schur algebras correspond to the case \(r=2\)."
34,Structure of classical (finite and affine) \(\mathcal W\)-algebras,2016,"De Sole, Alberto, Kac, Victor G., Valeri, Daniele","J. Eur. Math. Soc. (JEMS) 18, No. 9, 1873-1908 (2016).","1435-9855, 1435-9863",10.4171/jems/632,"17B69, 17B08, 17B63, 37K30",10.4171/jems/632,70b132e8b2cb14769bb9202d640b7025e73e8c6b,no_msc_clean,"[-0.1157, 0.0154, -0.0276, 0.0145, -0.0612, 0.0075, 0.0892, -0.0525, ...] dimension=384","Summary: First, we derive an explicit formula for the Poisson bracket of the classical finite \(\mathcal W\)-algebra \(\mathcal W^{\mathrm {fin}}(\mathfrak g,f)\), the algebra of polynomial functions on the Slodowy slice associated to a simple Lie algebra \(\mathfrak g\) and its nilpotent element \(f\). On the other hand, we produce an explicit set of generators and we derive an explicit formula for the Poisson vertex algebra structure of the classical affine \(\mathcal W\)-algebra \(\mathcal W(\mathfrak g,f)\). As an immediate consequence, we obtain a Poisson algebra isomorphism between \(\mathcal W^{\mathrm {fin}}(\mathfrak g,f)\) and the Zhu algebra of \(\mathcal W(\mathfrak g,f)\). We also study the generalized Miura map for classical \(\mathcal W\)-algebras."
35,A note on derivations of Murray-von Neumann algebras,2014,"Kadison, Richard V., Liu, Zhe","Proc. Natl. Acad. Sci. USA 111, No. 6, 2087-2093 (2014).","1091-6490, 0027-8424",10.1073/pnas.1321358111,"46L10, 81R05, 81R10",10.1073/pnas.1321358111,ab7ab569ad852cd7df5cd77922e8ac1cdc845ddd,no_msc_clean,"[-0.0938, 0.0068, -0.0051, 0.0481, -0.0777, 0.0216, 0.0706, -0.0392, ...] dimension=384","Summary: A Murray--von Neumann algebra is the algebra of operators affiliated with a finite von Neumann algebra. In this article, we first present a brief introduction to the theory of derivations of operator algebras from both the physical and mathematical points of view. We then describe our recent work on derivations of Murray--von Neumann algebras. We show that the ``extended derivations'' of a Murray--von Neumann algebra, those that map the associated finite von Neumann algebra into itself, are inner. In particular, we prove that the only derivation that maps a Murray--von Neumann algebra associated with a factor of type II1 into that factor is 0. Those results are extensions of Singer's seminal result answering a question of Kaplansky, as applied to von Neumann algebras: The algebra may be noncommutative and may even contain unbounded elements."
36,Sur les \(C^*\)-algèbres,1960,"Dixmier, Jacques","Bull. Soc. Math. Fr. 88, 95-112 (1960).","2102-622X, 0037-9484",10.24033/bsmf.1545,,10.24033/bsmf.1545,c81e17f6ee898dadacdb62b75ed438f974c9135b,no_msc_clean,"[-0.0811, 0.0213, 0.0031, -0.0050, -0.0415, 0.0801, 0.0479, 0.0577, ...] dimension=384","Soit A une C*-algbre (c'est--dire une algbre de Banach involutive dans laquelle la norme vrifie l'axiome || x^ x || == || x j| 2 ). Nous noterons A' 1 l'ensemble des idaux primitifs de A, muni de la topologie de Jacobson : rappelons que, dans cette topologie, l'adhrence d'un ensemble d'idaux primitifs (Pi) est l'ensemble des idaux primitifs contenant n Pi."
37,Tensor categories with fusion rules of self-duality for finite abelian groups,1998,"Tambara, Daisuke, Yamagami, Shigeru","J. Algebra 209, No. 2, 692-707 (1998).","0021-8693, 1090-266X",10.1006/jabr.1998.7558,"46L05, 18D10",10.1006/jabr.1998.7558,4815771e66d737f814b125a22cd211cd52df7bc2,no_msc_clean,"[-0.0467, 0.0523, 0.0012, 0.0525, -0.0719, 0.0462, 0.0163, -0.0789, ...] dimension=384","Split semisimple tensor categories are a special class of monoidal categories. They have associated an algebra which is called the fusion algebra of the given category. Let \(A\) be a finite group, \(S\) the disjoint union of \(A\) with the element \(m\) and \({\mathbb Z}[S]\) the algebra obtained by extension of the group algebra \({\mathbb Z}[G]\) whose product satisfies \(m^2 = \sum_{a\in A}a\) and \(am = ma = m\) for all \(a\in A\). The main result of this paper classifies split semisimple tensor categories over a field \(K\) whose fusion algebra is \({\mathbb Z}[S]\). As an application is obtained the existence of four classes of semisimple tensor categories over \({\mathbb C}\) when \(A = {\mathbb Z}_2 \oplus {\mathbb Z}_2 \). Three of these are realized as the class of the category of representations of Hopf algebras of dimension \(8\) (dihedral group algebra, quaternion group algebra and the Kac and Paljutkin algebra). So these Hopf algebras have the same fusion algebra but different classes of categories of representations."
38,"Weak distributivity, a problem of von Neumann and the mystery of measurability",2006,"Balcar, Bohuslav, Jech, Thomas","Bull. Symb. Log. 12, No. 2, 241-266 (2006).","1079-8986, 1943-5894",10.2178/bsl/1146620061,"03E35, 28A60, 06E05",10.2178/bsl/1146620061,599f3b8133e501211909b33a1fa6e859004a9d86,no_msc_clean,"[-0.0565, -0.0274, -0.0143, -0.0002, -0.0644, 0.0452, 0.0449, 0.0636, ...] dimension=384","This is primarily a survey article concerning the problem of von Neumann, whether every weakly distributive ccc Boolean algebra is a measure algebra. This problem splits into two parts: is every such algebra a Maharam algebra, and is every Maharam algebra a measure algebra? The article is actually concerned only with the first part, and outlines a solution of that problem. (Talagrand announced a solution of the second part, negatively.) Since a Suslin algebra is a counterexample, the problem becomes one of consistency. A positive solution is sketched; the details are in a paper of \textit{B. Balcar, T. Jech}, and \textit{T. Pazák} [Bull. Lond. Math. Soc. 37, 885--898 (2005; Zbl 1101.28003)]"
39,From Lie algebra crossed modules to tensor hierarchies,2023,"Lavau, Sylvain, Stasheff, Jim","J. Pure Appl. Algebra 227, No. 6, Article ID 107311, 50 p. (2023); corrigendum ibid. 227, No. 12, Article ID 107428, 8 p. (2023).","0022-4049, 1873-1376",10.1016/j.jpaa.2022.107311,"17B70, 17A32, 18G45",10.1016/j.jpaa.2022.107311,3d404211f6aa624e48a2f0bb7fdb5a366aea74c4,no_msc_clean,"[-0.1155, -0.1213, -0.0149, 0.0139, -0.0402, 0.0423, -0.0816, -0.0218, ...] dimension=384","The present paper establishes the mathematical credentials of tensor hierarchies, especially as genetically related to Lie algebra crossed modules. Gauging procedures in supergravity rely on a pairing -- the embedding tensor -- between a Leibniz algebra and a Lie algebra. Two such algebras, together with their embedding tensor, form a triple called a Lie-Leibniz triple, of which Lie algebra crossed modules are particular cases. The authors show that any Lie-Leibniz triple induces a differential graded Lie algebra -- its associated tensor hierarchy -- whose restriction to the category of Lie algebra crossed modules is the canonical assignment associating to any Lie algebra crossed module its corresponding unique 2-term differential graded Lie algebra. This shows that Lie-Leibniz triples form natural generalizations of Lie algebra crossed modules and that their associated tensor hierarchies can be considered as some kind of ``Lie-ization'' of the former."
40,Yang-Mills algebra,2002,"Connes, Alain, Dubois-Violette, Michel","Lett. Math. Phys. 61, No. 2, 149-158 (2002).","0377-9017, 1573-0530",10.1023/a:1020733628744,"53C07, 16S37, 58B34, 16E65, 81R60",10.1023/a:1020733628744,edb0206014557634db7c1d7f7527ca3b2510c581,no_msc_clean,"[-0.1097, -0.0368, -0.0409, 0.0184, -0.0622, 0.0946, 0.0512, -0.0745, ...] dimension=384","The cubic algebra \({\mathcal A}\) generated by the covariant derivatives of a Yang-Mills connection over the \((s+1)\)-dimensional pseudo-Euclidean space is Koszul of global dimension 3 and Gorenstein (Theorem 1) except in the two-dimensional case \((s=1)\) where it is the universal enveloping algebra of the Heisenberg Lie algebra and a cubic Artin-Schelter regular algebra [see \textit{R. Berger}, J. Algebra 239, 705-734 (2001; Zbl 1035.16023)]. An explicit formula for the Poincaré series of \({\mathcal A}\) and for the dimension in degree \(n\) of the corresponding graded Lie algebra is given. In the four-dimensional Euclidean case \((s=3)\) a quotient of \({\mathcal A}\) is the quadratic algebra generated by a self-dual connection. This algebra is Koszul of global dimension 2 but is not Gorenstein (Theorem 2). It is the universal enveloping algebra of the semi-direct product of the free Lie algebra with three generators of degree 1 by a derivation of degree 1 [see also \textit{M. Dubois-Violette}, K-Theory 14, 371-404 (1998; Zbl 0918.18008), \textit{M. Dubois-Violette} and \textit{I. T. Todorov}, Lett. Math. Phys. 48, 323-338 (1999; Zbl 0949.81067), and \textit{M. Wambst}, K-Theory 23, 377-397 (2001; Zbl 0996.18011)]."
41,On classification of Poisson vertex algebras,2010,"De Sole, Alberto, Kac, Victor G., Wakimoto, Minoru","Transform. Groups 15, No. 4, 883-907 (2010).","1531-586X, 1083-4362",10.1007/s00031-010-9110-9,"17B69, 37K05",10.1007/s00031-010-9110-9,9a9cfc7390f44701b17e1d1db22d0192a70d248f,no_msc_clean,"[-0.1287, 0.0059, -0.0486, -0.0171, -0.1100, 0.0184, 0.0301, -0.0575, ...] dimension=384",After brief recall of the definitions of Poisson vertex algebra and Lie conformal algebra the problem of the classification of Poisson vertex algebra structures on the algebra of differential polynomials is discussed. In the case of one differential variable a conjectural classification is described. The associated Hamiltonian operators are also discussed.
42,Cyclotomic \(q\)-Schur algebras,1998,"Dipper, Richard, James, Gordon, Mathas, Andrew","Math. Z. 229, No. 3, 385-416 (1998).","1432-1823, 0025-5874",10.1007/pl00004665,"20C30, 20C08, 16G30, 20C20, 20G05",10.1007/pl00004665,e599ff49b10cc798958c106b2b0fa3ed6d89c2bd,no_msc_clean,"[-0.1221, 0.0665, -0.0648, 0.0467, -0.0337, 0.0550, 0.0082, 0.0194, ...] dimension=384","Recently, the authors of the present article [Proc. Lond. Math. Soc., III. Ser. 77, No. 2, 327-361 (1998; Zbl 0916.20006)] and, independently \textit{J. Du} and \textit{L. Scott} [Trans. Am. Math. Soc. (to appear)], defined an analogue of the \(q\)-Schur algebra for an Iwahori-Hecke algebra of type \(B\). In this paper the authors study an analogue of the \(q\)-Schur algebra for an arbitrary Ariki-Koike algebra. An Ariki-Koike algebra \(H\) is a cyclotomic algebra of type \(G(r,1,n)\) and becomes an Iwahori-Hecke algebra of type \(A\) or \(B\) when \(r=1\) or \(2\), respectively. For each multicomposition \(\lambda\) of \(n\), a right ideal \(M^\lambda\) of \(H\) is constructed. The cyclotomic \(q\)-Schur algebra is then defined to be \(S=\text{End}_H(\oplus_\lambda M^\lambda)\). A Specht series for \(M^\lambda\) is then obtained and this is used to construct a cellular basis of \(S\). As a consequence, a complete set of non-isomorphic irreducible \(S\)-modules is obtained, and it is also shown that the cyclotomic \(q\)-Schur algebra is quasi-hereditary."
43,Enveloping algebras and generalized Chevalley groups,2018,"Tits, Jacques","Innov. Incidence Geom. 16, 259-265 (2018).","2640-7337, 2640-7345",10.2140/iig.2018.16.259,"17B35, 22E10",10.2140/iig.2018.16.259,71d537cbfbd947d932767c87c67b307430ac1d53,no_msc_clean,"[-0.0921, 0.0228, -0.0267, 0.0843, -0.1180, 0.0332, 0.0324, -0.0886, ...] dimension=384","With an eye on the construction of Kac-Moody groups, the author discusses the question how one can associate a group with a given Lie algebra \(L\). His construction takes place inside the universal enveloping algebra \(U(L)\). The case that \(L\) is a complex semi-simple Lie algebra is discussed in some detail. The results of this paper were incorporated in [J. Algebra 105, 542--573 (1987; Zbl 0626.22013)]."
44,Invariant forms on central simple structurable algebras,1989,"Schafer, R. D.","J. Algebra 122, No. 1, 112-117 (1989).","0021-8693, 1090-266X",10.1016/0021-8693(89)90241-x,"17A30, 17B60",10.1016/0021-8693(89)90241-x,eacdc217b4357a01a7c94c194577a0191f3277c3,no_msc_clean,"[-0.0163, -0.0096, 0.0277, 0.0023, -0.0629, 0.0260, -0.0124, -0.0045, ...] dimension=384",It is shown that every symmetric invariant bilinear form of a finite dimensional central simple structurable algebra over a field of characteristic zero is a scalar multiple of the trace form. The proof uses properties of the associated Lie algebra of a structurable algebra. In a remark the author sketches a different proof. It should be noted that this latter proof works for every central simple algebra (resp. algebra with involution).
